1348994983236403203,#PaidSickDays,2021-01-12 14:07,PeggySattlerNDP,“The constant COVID message of ‘just stay home’ means nothing when your boss is saying you must come to work &amp; your… https://t.co/UvQAfyBQCs
1349070949136658443,#PaidSickDays,2021-01-12 19:09,PeggySattlerNDP,"Employer-delivered #paidsickdays do NOT duplicate federal benefits, they make it easy &amp; seamless for workers to aff… https://t.co/ElshufkalP"
1349095173951791105,#PaidSickDays,2021-01-12 20:45,CFifeKW,"The #lockdown plan doesn't work without #paidsickdays 

Doug Ford won't pay to keep everyone safe, and we will all… https://t.co/i5J9ZRjYcw"
1349138039013060615,#PaidSickDays,2021-01-12 23:35,reshminair,Paid sick leave and the pandemic's disproportionate impact on our feminized/racialized healthcare labour force. We… https://t.co/imCCQBm3CP
1348644240566464512,#PaidSickDays,2021-01-11 14:53,PeggySattlerNDP,Legislation to mandate #paidsickdays is written and ready to go. My PMB #StayHomeIfYouAreSick Act was tabled in Dec… https://t.co/8uJHqdQu5W
1349117398817894400,#BURMUN,2021-01-12 22:13,ManUtd,"A @PaulPogba goal sends us to the 🔝 of the @PremierLeague!

🔴 #MUFC 
#️⃣ #BURMUN 
🏆 #PL
@Chevrolet"
1349122754445004801,#BURMUN,2021-01-12 22:35,premierleague,"Man Utd go 3 points clear at the top of the #PL 🔴

#BURMUN https://t.co/rgc7ZhAP7S"
1349072441465827336,#BURMUN,2021-01-12 19:15,ManUtd,"🚨 All eyes on Turf Moor! 👀

Here's your United XI to take on Burnley 💪

🔴 #MUFC

#️⃣ #BURMUN
🏆 #PL"
1349110754830643209,#BURMUN,2021-01-12 21:47,ManUtd,"💥 POGBAAAAAAAAAAAA! The Reds are ahead!

💻 https://t.co/YS4CBzXRmU
🔴 #MUFC 
#️⃣ #BURMUN 
🏆 #PL https://t.co/J9n2Sx3jug"
1348898525325701125,#BURMUN,2021-01-12 07:44,premierleague,"🔴 @ManUtd are averaging three goals per #PL away match this season (21 in seven)

The highest goals per game averag… https://t.co/neIS9ZN4Oj"
1349131561116065792,#BURMUN,2021-01-12 23:10,premierleague,"This is the first time @ManUtd have ended the day 🔝 of the #PL table, having played as many as 17 matches, since th… https://t.co/S0LK7ZtN6x"
1349117362834866177,#BURMUN,2021-01-12 22:13,PLforIndia,"🔴 @ManUtd ARE TOP OF THE TABLE 🔴

RT if you are 😃 #BURMUN"
1348629736948338690,#BURMUN,2021-01-11 13:56,ManUtd,"🗣️ ""We needed to get points on the board and not let teams run away with it,"" says Solskjaer.

""Yes we have a game… https://t.co/xDJuZN6BTm"
1348892468238897153,#BURMUN,2021-01-12 07:20,ManUtd,"Back on the road for the first time in 2021 — let's get the 3️⃣ points! 👊

🔴 #MUFC
#️⃣ #BURMUN
🏆 #PL"
1348722094159355905,#BURMUN,2021-01-11 20:02,ManUtd,"📬 𝙔𝙤𝙪 𝙝𝙖𝙫𝙚 𝙢𝙖𝙞𝙡.

Today's training pics have landed! 😎

#MUFC #BURMUN https://t.co/UCyWCCeVk8"
1348880154051932161,#BURMUN,2021-01-12 06:31,premierleague,"🙌 @BurnleyOfficial won 2-0 at Old Trafford in their last #PL meeting with Man Utd 

They've not won consecutive lea… https://t.co/friAJF613j"
1348725387069681665,#BURMUN,2021-01-11 20:16,premierleague,"""Pope has at times defied the odds to keep Burnley in matches""

@adrianjclarke says the Burnley 'keeper could be a… https://t.co/BC8EoFt5b0"
1348625710349393920,#BURMUN,2021-01-11 13:40,ManUtd,"🗣️ Ole: ""We are better off than this time last season, but no-one remembers the league table in January.

""For us i… https://t.co/hjT5HVAIdA"
1348627723476889610,#BURMUN,2021-01-11 13:48,ManUtd,"💬 ""We have to be aggressive and go into every game humble and working hard,"" adds the boss.

""It doesn't matter whe… https://t.co/TArI6x7Uux"
